name,description,reference,price,comparePrice,productType,subcategory,sizes,colors,material,weight,stock,minOrder,imageUrl,isNew,isFeatured,hasDiscount,discount,reinforcement,reflective,thermal,features
Chaleco Geólogo,"Chaleco geólogo reflectante, ideal para minería y construcción.",GEO-001,32900,38900,industrial,Chalecos,"S,M,L,XL,2XL","#EA580C,#1E3A8A,#15803D,#DC2626",Poliéster Oxford 600D,300 gr/m²,120,10,https://www.apro.cl/cdn/shop/files/CHALECOEXOSETGEOLOGONARANJO-AZUL.jpg,false,true,true,10,true,true,false,"Cintas reflectantes 3M|Múltiples bolsillos|Espalda acolchada|Refuerzos"
Jean de Trabajo Reforzado,Jean de trabajo con denim reforzado y costuras dobles.,JEA-003,34500,39900,industrial,Jeans,"S,M,L,XL,2XL,3XL","#1E3A8A,#2C2C2C,#4A5D23",100% Algodón Denim,320 gr/m²,80,10,https://i0.wp.com/ipialesdelsur.com/wp-content/uploads/2024/08/pantalon-j.jpg,true,false,false,0,true,false,false,"Costuras dobles|Presillas para herramientas|Bolsillo para celular|Resistente a abrasión"
Polera Micropolar Térmica,"Polera micropolar térmica, abrigo ligero ideal para clima frío.",MIC-045,22900,26900,industrial,Poleras Térmicas,"S,M,L,XL,2XL","#4B5563,#1F2937,#0F172A,#15803D",100% Poliéster Micropolar,280 gr/m²,200,10,https://uniformessami.cl/cdn/shop/files/micropolar-termico-ml-mujer-100-poly_3.jpg,false,true,true,15,false,false,true,"Abrigo ligero|Transpirable|Mantiene calor|Secado rápido"
Overol Industrial,Overol completo para trabajo pesado resistente a químicos.,OVE-006,58900,68900,industrial,Overoles,"S,M,L,XL,2XL","#163C7A,#2C2C2C,#4A5D23",100% Algodón,350 gr/m²,50,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,true,10,true,false,false,"Múltiples bolsillos|Cremallera reforzada|Resistente a químicos|Costuras triples"
Casco de Seguridad,Casco de seguridad industrial con suspensión ajustable.,CAS-007,8900,12900,industrial,Seguridad,Único,"#EA580C,#FFD700,#FFFFFF",ABS de alta densidad,400 gr,500,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,false,false,false,0,false,true,false,"Ajuste de 6 puntos|Resistente a impactos|Aislante eléctrico|Banda sudorípara"
Guantes de Seguridad,Guantes de cuero para trabajo pesado protección contra cortes.,GUA-008,5900,8900,industrial,Guantes,"S,M,L,XL","#8B7355,#2C2C2C",Cuero de vaca,150 gr,800,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,false,false,false,0,true,false,false,"Resistente a cortes|Puño elástico|Refuerzo en palma|Transpirable"
Botín de Seguridad,Botín de seguridad con punta de acero y suela antideslizante.,BOT-009,45900,52900,industrial,Calzado,"36,37,38,39,40,41,42,43,44","#2C2C2C,#4A5D23",Cuero nobuk,800 gr,120,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,true,12,true,false,false,"Punta de acero|Suela antideslizante|Plantilla ergonómica|Resistente al agua"
Chaqueta Alta Visibilidad,"Chaqueta de alta visibilidad con cintas reflectantes 360°.",CHA-010,39900,45900,industrial,Chaquetas,"S,M,L,XL,2XL","#EA580C,#FFD700",Poliéster impermeable,280 gr/m²,90,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,false,true,false,0,false,true,false,"Cintas reflectantes 3M|Impermeable|Cremallera cubierta|Capucha desmontable"
Polera Manga Larga Térmica,Polera térmica de primera capa para frío extremo.,POL-011,19900,24900,industrial,Poleras Térmicas,"S,M,L,XL,2XL","#1F2937,#0F172A,#4B5563",Polipropileno,180 gr/m²,300,10,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,false,true,10,false,false,true,"Aislante térmico|Respirable|Secado rápido|Anti-olor"
Bordado 2D Premium,"Bordado 2D de alta calidad con puntada plana. Ideal para logos corporativos.",BOR-2D-001,10000,12900,bordados,Bordado 2D,NA,NA,NA,9999,10,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,true,false,0,false,false,false,"Hasta 15000 puntadas|Alta definición|Colores sólidos|Resistente a lavados"
Bordado 3D Puff,"Bordado 3D con efecto puff, ideal para gorras y chaquetas.",BOR-3D-002,15000,18900,bordados,Bordado 3D,NA,NA,NA,9999,20,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,true,true,false,0,false,false,false,"Efecto puff 3D|Volumen premium|Alto impacto|Máxima durabilidad"
Bordado Aplicado,"Bordado aplicado sobre tela, perfecto para parches personalizados.",BOR-APP-003,12000,14900,bordados,Bordado Aplicado,NA,NA,NA,9999,15,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,false,false,0,false,false,false,"Aplicación sobre tela|Parche removible|Terminación profesional|Fácil aplicación"
Bordado Metálico,Bordado con hilo metálico para acabados premium y lujosos.,BOR-MET-004,18000,22900,bordados,Bordado Especial,NA,NA,NA,9999,20,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,true,true,false,0,false,false,false,"Hilo metálico|Acabado brillante|Ideal para eventos|Resistente"
Bordado Texto Pequeño,"Especializado en textos pequeños, alta definición en letras.",BOR-TXT-005,8000,10900,bordados,Bordado Texto,NA,NA,NA,9999,10,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,false,true,15,false,false,false,"Letras pequeñas|Alta definición|Perfecto para nombres|Rápido de producir"
Bordado con Fieltro,"Bordado combinado con fieltro para dar volumen y textura.",BOR-FIE-006,14000,17900,bordados,Bordado Especial,NA,NA,NA,9999,15,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,true,false,0,false,false,false,"Efecto 3D con fieltro|Textura única|Ideal para mascotas|Duradero"
Bordado de Iniciales,Bordado de iniciales personalizadas para toque personal.,BOR-INI-007,5000,7900,bordados,Bordado Texto,NA,NA,NA,9999,5,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,false,true,20,false,false,false,"Letras cursivas|Múltiples fuentes|Rápido y económico|Ideal para detalles"
Bordado en Gorra,"Bordado especializado para gorras y cachuchas.",BOR-GOR-008,12000,14900,bordados,Bordado 3D,NA,NA,NA,9999,20,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,true,true,false,0,false,false,false,"Superficie curva|Efecto puff|Posiciones frontales|Alta calidad"
Bordado en Toalla,Bordado especial para toallas y textiles del hogar.,BOR-TOW-009,11000,13900,bordados,Bordado Aplicado,NA,NA,NA,9999,15,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,false,false,0,false,false,false,"Técnica especial|Resistente a lavado|Ideal para hoteles|Acabado suave"
Bordado 2D Económico,"Bordado 2D económico para grandes volúmenes.",BOR-ECO-010,6000,8900,bordados,Bordado 2D,NA,NA,NA,9999,50,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e,false,false,true,25,false,false,false,"Económico|Rápido|Ideal para grandes cantidades|Calidad estándar"
Set Starter Corporativo,"Set básico: 2 Poleras Polo + 1 Camisa. Bordado incluido.",SET-STR-001,45900,53900,equipos,Kits,"S,M,L,XL,2XL",Combinable,Múltiples,500,1,https://images.unsplash.com/photo-1581091226033-d5c48150dbaa,false,true,true,15,false,false,false,"2 Poleras Polo|1 Camisa Formal|Bordado en todas|Combina tallas y colores"
Set Industrial Básico,"Set industrial: 2 Pantalones Cargo + 2 Poleras Micropolar.",SET-IND-002,78900,89900,equipos,Kits,"S,M,L,XL,2XL,3XL",Combinable,Múltiples,300,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,true,10,false,false,false,"2 Pantalones Cargo|2 Poleras Micropolar|Refuerzos incluidos|Bordado incluido"
Set Ejecutivo Premium,"Set ejecutivo: Camisa + Chaqueta + Polera. Bordado premium.",SET-PRE-003,129900,149900,equipos,Kits,"S,M,L,XL,2XL",Combinable,Múltiples,150,1,https://images.unsplash.com/photo-1591047139829-d91aecb6caea,true,true,false,0,false,false,false,"Camisa Formal|Chaqueta Corporativa|Polera Polo|Bordado 3D disponible"
Kit Trabajo Terreno,"Kit completo para trabajo en terreno: Chaqueta + Pantalón + Botas.",KIT-TER-004,119900,139900,equipos,Kits Terreno,"S,M,L,XL,2XL",Combinable,Múltiples,80,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,true,10,false,false,false,"Chaqueta Geólogo|Pantalón Cargo|Botín Seguridad|Gorra incluida"
Kit Invierno,"Kit para climas fríos: Polera térmica + Chaqueta Softshell + Gorro.",KIT-INV-005,89900,109900,equipos,Kits Invierno,"S,M,L,XL,2XL",Combinable,Múltiples,120,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,true,12,false,false,false,"Polera Térmica|Chaqueta Softshell|Gorro polar|Bufanda incluida"
Kit Verano,"Kit para climas cálidos: Polera manga corta + Short + Gorra.",KIT-VER-006,49900,59900,equipos,Kits Verano,"S,M,L,XL,2XL",Combinable,Múltiples,200,1,https://images.unsplash.com/photo-1581091226033-d5c48150dbaa,false,true,false,0,false,false,false,"Polera Manga Corta|Short táctico|Gorra deportiva|Lentes de sol"
Kit Equipo Completo,"Kit completo para equipo de 10 personas: 10 Poleras + 10 Camisas.",KIT-COMP-007,319000,389000,equipos,Kits Grupo,"S,M,L,XL,2XL",Combinable,Múltiples,50,1,https://images.unsplash.com/photo-1581091226033-d5c48150dbaa,false,true,true,18,false,false,false,"10 Poleras Polo|10 Camisas|Bordado incluido|Precio por grupo"
Kit Seguridad,"Kit de seguridad industrial: Chaleco + Casco + Guantes + Lentes.",KIT-SEG-008,69900,79900,equipos,Kits Seguridad,"S,M,L,XL",Combinable,Múltiples,150,1,https://images.unsplash.com/photo-1581092160562-40aa08e78837,true,true,false,0,false,false,false,"Chaleco Reflectante|Casco Seguridad|Guantes|Lentes protección"
Kit Staff Restaurante,"Kit para personal de restaurantes: Camisa + Delantal + Gorra.",KIT-RES-009,59900,69900,equipos,Kits Staff,"S,M,L,XL,2XL",Combinable,Múltiples,100,1,https://images.unsplash.com/photo-1581091226033-d5c48150dbaa,false,false,true,10,false,false,false,"Camisa Ejecutiva|Delantal profesional|Gorra de chef|Bordado incluido"
Kit Staff Hotel,"Kit para personal de hotel: Chaqueta + Camisa + Corbata.",KIT-HOT-010,89900,109900,equipos,Kits Staff,"S,M,L,XL,2XL",Combinable,Múltiples,80,1,https://images.unsplash.com/photo-1591047139829-d91aecb6caea,true,false,true,12,false,false,false,"Chaqueta Formal|Camisa Blanca|Corbata elegante|Bordado dorado"
